each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 100

0:A100,21.60,[100.00,02.25,04.05]	5:A100,22.40,[100.00,27.12,23.74]	10:A100,20.90,[100.00,36.25,19.84]	15:A100,21.90,[100.00,41.37,22.84]	20:A100,20.00,[100.00,04.87,04.87]	25:A100,21.10,[100.00,65.56,17.02]	30:A100,20.90,[100.00,14.05,03.33]	35:A100,21.50,[100.00,19.39,19.97]	40:A100,21.90,[100.00,07.41,48.26]	45:A100,21.80,[100.00,09.57,04.37]	
0:A100,22.10,[100.00,02.25,04.05]	5:A100,22.90,[100.00,27.12,23.74]	10:A100,21.40,[100.00,36.25,19.84]	15:A100,22.40,[100.00,41.37,22.84]	20:A100,20.50,[100.00,04.87,04.87]	25:B220,22.20,[100.00,168.56,17.02]	30:A100,21.40,[100.00,14.05,03.33]	35:A100,22.00,[100.00,19.39,19.97]	40:A100,22.40,[100.00,07.41,48.26]	45:A100,22.30,[100.00,09.57,04.37]	
0:A100,22.60,[100.00,02.25,04.05]	5:A100,23.40,[100.00,27.12,23.74]	10:A100,21.90,[100.00,36.25,19.84]	15:A100,22.90,[100.00,41.37,22.84]	20:A100,21.00,[100.00,04.87,04.87]	25:B220,23.30,[100.00,202.86,17.02]	30:A100,21.90,[100.00,14.05,03.33]	35:A100,22.50,[100.00,19.39,19.97]	40:A100,22.90,[100.00,07.41,48.26]	45:A100,22.80,[100.00,09.57,04.37]	
0:A100,23.10,[100.00,02.25,04.05]	5:A100,23.90,[100.00,27.12,23.74]	10:A100,22.40,[100.00,36.25,19.84]	15:B220,24.00,[100.00,179.19,22.84]	20:A100,21.50,[100.00,04.87,04.87]	25:B000,23.30,[100.00,67.57,17.02]	30:A100,22.40,[100.00,14.05,03.33]	35:A100,23.00,[100.00,19.39,19.97]	40:A100,23.40,[100.00,07.41,48.26]	45:A100,23.30,[100.00,09.57,04.37]	
0:A100,23.60,[100.00,02.25,04.05]	5:A100,24.40,[100.00,27.12,23.74]	10:A100,22.90,[100.00,36.25,19.84]	15:B220,25.10,[100.00,210.68,22.84]	20:A100,22.00,[100.00,04.87,04.87]	25:A100,23.80,[100.00,67.57,17.02]	30:A100,22.90,[100.00,14.05,03.33]	35:A100,23.50,[100.00,19.39,19.97]	40:A100,23.90,[100.00,07.41,48.26]	45:A100,23.80,[100.00,09.57,04.37]	
0:A100,24.10,[100.00,02.25,04.05]	5:A100,24.90,[100.00,27.12,23.74]	10:A100,23.40,[100.00,36.25,19.84]	15:B220,26.20,[100.00,217.87,22.84]	20:A100,22.50,[100.00,04.87,04.87]	25:A100,24.30,[100.00,67.57,17.02]	30:A100,23.40,[100.00,14.05,03.33]	35:A100,24.00,[100.00,19.39,19.97]	40:A100,24.40,[100.00,07.41,48.26]	45:A100,24.30,[100.00,09.57,04.37]	
0:A100,24.60,[100.00,02.25,04.05]	5:B000,24.90,[100.00,03.60,23.74]	10:A100,23.90,[100.00,36.25,19.84]	15:B220,27.30,[100.00,219.51,22.84]	20:A100,23.00,[100.00,04.87,04.87]	25:A100,24.80,[100.00,67.57,17.02]	30:A100,23.90,[100.00,14.05,03.33]	35:A100,24.50,[100.00,19.39,19.97]	40:A100,24.90,[100.00,07.41,48.26]	45:A100,24.80,[100.00,09.57,04.37]	
0:A100,25.10,[100.00,02.25,04.05]	5:A100,25.40,[100.00,03.60,23.74]	10:A100,24.40,[100.00,36.25,19.84]	15:B000,27.30,[100.00,50.15,22.84]	20:A100,23.50,[100.00,04.87,04.87]	25:B220,25.90,[100.00,169.23,17.02]	30:A100,24.40,[100.00,14.05,03.33]	35:A100,25.00,[100.00,19.39,19.97]	40:A100,25.40,[100.00,07.41,48.26]	45:A100,25.30,[100.00,09.57,04.37]	
0:A100,25.60,[100.00,02.25,04.05]	5:A100,25.90,[100.00,03.60,23.74]	10:A100,24.90,[100.00,36.25,19.84]	15:A100,27.80,[100.00,50.15,22.84]	20:A100,24.00,[100.00,04.87,04.87]	25:B220,27.00,[100.00,203.09,17.02]	30:A100,24.90,[100.00,14.05,03.33]	35:C000,25.00,[100.00,19.39,06.83]	40:A100,25.90,[100.00,07.41,48.26]	45:A100,25.80,[100.00,09.57,04.37]	
0:A100,26.10,[100.00,02.25,04.05]	5:A100,26.40,[100.00,03.60,23.74]	10:A100,25.40,[100.00,36.25,19.84]	15:C000,27.80,[100.00,50.15,05.22]	20:A100,24.50,[100.00,04.87,04.87]	25:B220,28.10,[100.00,214.37,17.02]	30:C180,25.80,[100.00,14.05,155.18]	35:A100,25.50,[100.00,19.39,06.83]	40:A100,26.40,[100.00,07.41,48.26]	45:B220,26.90,[100.00,176.01,04.37]	
