each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0:B220,25.90,[100.00,181.85,54.83]	5:A100,27.20,[100.00,67.02,40.00]	10:C000,24.50,[100.00,40.16,40.43]	15:A100,23.60,[100.00,68.52,50.00]	20:A100,21.30,[100.00,43.75,65.14]	25:A100,23.10,[100.00,52.62,41.56]	30:B220,23.10,[100.00,187.97,59.99]	35:B220,24.40,[100.00,136.56,21.48]	40:A100,22.20,[100.00,39.38,41.88]	45:A100,23.10,[100.00,39.92,38.49]	
0:B000,25.90,[100.00,90.93,54.83]	5:B220,28.30,[100.00,143.51,40.00]	10:A100,25.00,[100.00,40.16,40.43]	15:A100,24.10,[100.00,68.52,50.00]	20:A100,21.80,[100.00,43.75,65.14]	25:C180,24.00,[100.00,52.62,110.78]	30:B220,24.20,[100.00,203.98,59.99]	35:B000,24.40,[100.00,68.28,21.48]	40:A100,22.70,[100.00,39.38,41.88]	45:A100,23.60,[100.00,39.92,38.49]	
0:B220,27.00,[100.00,155.46,54.83]	5:B000,28.30,[100.00,71.76,40.00]	10:A100,25.50,[100.00,40.16,40.43]	15:B000,24.10,[100.00,34.26,50.00]	20:A100,22.30,[100.00,43.75,65.14]	25:C000,24.00,[100.00,52.62,55.39]	30:B220,25.30,[100.00,211.99,59.99]	35:A100,24.90,[100.00,68.28,21.48]	40:A100,23.20,[100.00,39.38,41.88]	45:A100,24.10,[100.00,39.92,38.49]	
0:B000,27.00,[100.00,77.73,54.83]	5:B220,29.40,[100.00,145.88,40.00]	10:A100,26.00,[100.00,40.16,40.43]	15:A100,24.60,[100.00,34.26,50.00]	20:A100,22.80,[100.00,43.75,65.14]	25:A100,24.50,[100.00,52.62,55.39]	30:B000,25.30,[100.00,106.00,59.99]	35:A100,25.40,[100.00,68.28,21.48]	40:A100,23.70,[100.00,39.38,41.88]	45:A100,24.60,[100.00,39.92,38.49]	
0:B220,28.10,[100.00,148.87,54.83]	5:B000,29.40,[100.00,72.94,40.00]	10:A100,26.50,[100.00,40.16,40.43]	15:A100,25.10,[100.00,34.26,50.00]	20:A100,23.30,[100.00,43.75,65.14]	25:A100,25.00,[100.00,52.62,55.39]	30:A100,25.80,[100.00,106.00,59.99]	35:A100,25.90,[100.00,68.28,21.48]	40:A100,24.20,[100.00,39.38,41.88]	45:A100,25.10,[100.00,39.92,38.49]	
0:B000,28.10,[100.00,74.43,54.83]	5:A100,29.90,[100.00,72.94,40.00]	10:A100,27.00,[100.00,40.16,40.43]	15:A100,25.60,[100.00,34.26,50.00]	20:C180,24.20,[100.00,43.75,122.57]	25:A100,25.50,[100.00,52.62,55.39]	30:A100,26.30,[100.00,106.00,59.99]	35:A100,26.40,[100.00,68.28,21.48]	40:A100,24.70,[100.00,39.38,41.88]	45:B220,26.20,[100.00,129.96,38.49]	
0:A100,28.60,[100.00,74.43,54.83]	5:B000,29.90,[100.00,36.47,40.00]	10:A100,27.50,[100.00,40.16,40.43]	15:A100,26.10,[100.00,34.26,50.00]	20:C180,25.10,[100.00,43.75,151.28]	25:A100,26.00,[100.00,52.62,55.39]	30:B220,27.40,[100.00,163.00,59.99]	35:A100,26.90,[100.00,68.28,21.48]	40:B220,25.80,[100.00,129.69,41.88]	45:B220,27.30,[100.00,174.98,38.49]	
0:A100,29.10,[100.00,74.43,54.83]	5:A100,30.40,[100.00,36.47,40.00]	10:A100,28.00,[100.00,40.16,40.43]	15:A100,26.60,[100.00,34.26,50.00]	20:C180,26.00,[100.00,43.75,165.64]	25:B000,26.00,[100.00,26.31,55.39]	30:B000,27.40,[100.00,81.50,59.99]	35:A100,27.40,[100.00,68.28,21.48]	40:B000,25.80,[100.00,64.84,41.88]	45:A100,27.80,[100.00,174.98,38.49]	
0:A100,29.60,[100.00,74.43,54.83]	5:A100,30.90,[100.00,36.47,40.00]	10:A100,28.50,[100.00,40.16,40.43]	15:A100,27.10,[100.00,34.26,50.00]	20:C000,26.00,[100.00,43.75,82.82]	25:A100,26.50,[100.00,26.31,55.39]	30:A100,27.90,[100.00,81.50,59.99]	35:A100,27.90,[100.00,68.28,21.48]	40:A100,26.30,[100.00,64.84,41.88]	45:B000,27.80,[100.00,87.49,38.49]	
0:B000,29.60,[100.00,37.22,54.83]	5:A100,31.40,[100.00,36.47,40.00]	10:A100,29.00,[100.00,40.16,40.43]	15:A100,27.60,[100.00,34.26,50.00]	20:C180,26.90,[100.00,43.75,131.41]	25:A100,27.00,[100.00,26.31,55.39]	30:A100,28.40,[100.00,81.50,59.99]	35:A100,28.40,[100.00,68.28,21.48]	40:A100,26.80,[100.00,64.84,41.88]	45:B220,28.90,[100.00,153.75,38.49]	
