each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0:A100,21.20,[100.00,17.13,28.98]	5:A100,22.40,[100.00,20.00,09.17]	10:A100,21.10,[100.00,41.53,24.01]	15:A100,24.50,[100.00,22.99,21.13]	20:A100,21.60,[100.00,15.18,07.18]	25:A100,22.20,[100.00,42.11,145.17]	30:A100,21.30,[100.00,27.32,03.64]	35:A100,21.90,[100.00,03.20,22.32]	40:A100,20.40,[100.00,00.16,00.29]	45:A100,22.00,[100.00,24.42,20.23]	
0:A100,21.70,[100.00,17.13,28.98]	5:A100,22.90,[100.00,20.00,09.17]	10:A100,21.60,[100.00,41.53,24.01]	15:A100,25.00,[100.00,22.99,21.13]	20:A100,22.10,[100.00,15.18,07.18]	25:C000,22.20,[100.00,42.11,28.71]	30:A100,21.80,[100.00,27.32,03.64]	35:A100,22.40,[100.00,03.20,22.32]	40:A100,20.90,[100.00,00.16,00.29]	45:A100,22.50,[100.00,24.42,20.23]	
0:A100,22.20,[100.00,17.13,28.98]	5:A100,23.40,[100.00,20.00,09.17]	10:A100,22.10,[100.00,41.53,24.01]	15:A100,25.50,[100.00,22.99,21.13]	20:A100,22.60,[100.00,15.18,07.18]	25:A100,22.70,[100.00,42.11,28.71]	30:A100,22.30,[100.00,27.32,03.64]	35:A100,22.90,[100.00,03.20,22.32]	40:A100,21.40,[100.00,00.16,00.29]	45:A100,23.00,[100.00,24.42,20.23]	
0:C180,23.10,[100.00,17.13,136.23]	5:A100,23.90,[100.00,20.00,09.17]	10:A100,22.60,[100.00,41.53,24.01]	15:A100,26.00,[100.00,22.99,21.13]	20:A100,23.10,[100.00,15.18,07.18]	25:A100,23.20,[100.00,42.11,28.71]	30:A100,22.80,[100.00,27.32,03.64]	35:A100,23.40,[100.00,03.20,22.32]	40:A100,21.90,[100.00,00.16,00.29]	45:A100,23.50,[100.00,24.42,20.23]	
0:A100,23.60,[100.00,17.13,136.23]	5:A100,24.40,[100.00,20.00,09.17]	10:A100,23.10,[100.00,41.53,24.01]	15:A100,26.50,[100.00,22.99,21.13]	20:A100,23.60,[100.00,15.18,07.18]	25:A100,23.70,[100.00,42.11,28.71]	30:A100,23.30,[100.00,27.32,03.64]	35:A100,23.90,[100.00,03.20,22.32]	40:A100,22.40,[100.00,00.16,00.29]	45:A100,24.00,[100.00,24.42,20.23]	
0:C180,24.50,[100.00,17.13,167.32]	5:A100,24.90,[100.00,20.00,09.17]	10:A100,23.60,[100.00,41.53,24.01]	15:C000,26.50,[100.00,22.99,02.48]	20:A100,24.10,[100.00,15.18,07.18]	25:A100,24.20,[100.00,42.11,28.71]	30:A100,23.80,[100.00,27.32,03.64]	35:A100,24.40,[100.00,03.20,22.32]	40:A100,22.90,[100.00,00.16,00.29]	45:A100,24.50,[100.00,24.42,20.23]	
0:C000,24.50,[100.00,17.13,48.49]	5:A100,25.40,[100.00,20.00,09.17]	10:B000,23.60,[100.00,09.97,24.01]	15:A100,27.00,[100.00,22.99,02.48]	20:A100,24.60,[100.00,15.18,07.18]	25:A100,24.70,[100.00,42.11,28.71]	30:A100,24.30,[100.00,27.32,03.64]	35:A100,24.90,[100.00,03.20,22.32]	40:A100,23.40,[100.00,00.16,00.29]	45:A100,25.00,[100.00,24.42,20.23]	
0:A100,25.00,[100.00,17.13,48.49]	5:A100,25.90,[100.00,20.00,09.17]	10:A100,24.10,[100.00,09.97,24.01]	15:A100,27.50,[100.00,22.99,02.48]	20:A100,25.10,[100.00,15.18,07.18]	25:A100,25.20,[100.00,42.11,28.71]	30:A100,24.80,[100.00,27.32,03.64]	35:A100,25.40,[100.00,03.20,22.32]	40:A100,23.90,[100.00,00.16,00.29]	45:A100,25.50,[100.00,24.42,20.23]	
0:A100,25.50,[100.00,17.13,48.49]	5:A100,26.40,[100.00,20.00,09.17]	10:C180,25.00,[100.00,09.97,142.54]	15:A100,28.00,[100.00,22.99,02.48]	20:A100,25.60,[100.00,15.18,07.18]	25:A100,25.70,[100.00,42.11,28.71]	30:A100,25.30,[100.00,27.32,03.64]	35:A100,25.90,[100.00,03.20,22.32]	40:A100,24.40,[100.00,00.16,00.29]	45:A100,26.00,[100.00,24.42,20.23]	
0:A100,26.00,[100.00,17.13,48.49]	5:A100,26.90,[100.00,20.00,09.17]	10:C000,25.00,[100.00,09.97,34.23]	15:A100,28.50,[100.00,22.99,02.48]	20:A100,26.10,[100.00,15.18,07.18]	25:A100,26.20,[100.00,42.11,28.71]	30:A100,25.80,[100.00,27.32,03.64]	35:A100,26.40,[100.00,03.20,22.32]	40:A100,24.90,[100.00,00.16,00.29]	45:A100,26.50,[100.00,24.42,20.23]	
