each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0:A100, 0.50,100.00,100.00,100.00	5:B000, 0.00,100.00,25.55,100.00	10:B000, 0.00,100.00, 7.01,100.00	15:C180, 0.90,100.00,100.00,171.97	20:A100, 0.50,100.00,100.00,100.00	25:C000, 0.00,100.00,100.00,30.57	30:B000, 0.00,100.00, 2.53,100.00	35:C000, 0.00,100.00,100.00,26.43	40:B220, 1.10,100.00,199.14,100.00	45:A100, 0.50,100.00,100.00,100.00	
0:A100,22.70,100.00,19.72, 1.39	5:A100,24.60,100.00,25.55,45.42	10:A100,23.90,100.00,15.43, 7.01	15:A100,23.20,100.00, 2.00,18.06	20:A100,21.40,100.00,33.01,36.02	25:A100,21.60,100.00,17.13, 9.34	30:A100,22.40,100.00, 2.53, 4.50	35:A100,21.50,100.00,26.43, 6.98	40:A100,21.10,100.00, 1.05, 3.02	45:A100,23.10,100.00, 2.19, 3.93	
0:A100,23.20,100.00,19.72, 1.39	5:A100,25.10,100.00,25.55,45.42	10:A100,24.40,100.00,15.43, 7.01	15:A100,23.70,100.00, 2.00,18.06	20:A100,21.90,100.00,33.01,36.02	25:A100,22.10,100.00,17.13, 9.34	30:A100,22.90,100.00, 2.53, 4.50	35:A100,22.00,100.00,26.43, 6.98	40:A100,21.60,100.00, 1.05, 3.02	45:A100,23.60,100.00, 2.19, 3.93	
0:A100,23.70,100.00,19.72, 1.39	5:A100,25.60,100.00,25.55,45.42	10:A100,24.90,100.00,15.43, 7.01	15:A100,24.20,100.00, 2.00,18.06	20:B220,23.00,100.00,127.82,36.02	25:A100,22.60,100.00,17.13, 9.34	30:A100,23.40,100.00, 2.53, 4.50	35:A100,22.50,100.00,26.43, 6.98	40:A100,22.10,100.00, 1.05, 3.02	45:A100,24.10,100.00, 2.19, 3.93	
0:A100,24.20,100.00,19.72, 1.39	5:A100,26.10,100.00,25.55,45.42	10:A100,25.40,100.00,15.43, 7.01	15:A100,24.70,100.00, 2.00,18.06	20:A100,23.50,100.00,127.82,36.02	25:A100,23.10,100.00,17.13, 9.34	30:A100,23.90,100.00, 2.53, 4.50	35:A100,23.00,100.00,26.43, 6.98	40:A100,22.60,100.00, 1.05, 3.02	45:A100,24.60,100.00, 2.19, 3.93	
0:A100,24.70,100.00,19.72, 1.39	5:A100,26.60,100.00,25.55,45.42	10:A100,25.90,100.00,15.43, 7.01	15:A100,25.20,100.00, 2.00,18.06	20:A100,24.00,100.00,127.82,36.02	25:A100,23.60,100.00,17.13, 9.34	30:A100,24.40,100.00, 2.53, 4.50	35:B220,24.10,100.00,168.85, 6.98	40:A100,23.10,100.00, 1.05, 3.02	45:A100,25.10,100.00, 2.19, 3.93	
0:A100,25.20,100.00,19.72, 1.39	5:A100,27.10,100.00,25.55,45.42	10:A100,26.40,100.00,15.43, 7.01	15:A100,25.70,100.00, 2.00,18.06	20:B000,24.00,100.00,63.01,36.02	25:A100,24.10,100.00,17.13, 9.34	30:A100,24.90,100.00, 2.53, 4.50	35:B220,25.20,100.00,206.48, 6.98	40:A100,23.60,100.00, 1.05, 3.02	45:A100,25.60,100.00, 2.19, 3.93	
0:A100,25.70,100.00,19.72, 1.39	5:A100,27.60,100.00,25.55,45.42	10:A100,26.90,100.00,15.43, 7.01	15:A100,26.20,100.00, 2.00,18.06	20:A100,24.50,100.00,63.01,36.02	25:A100,24.60,100.00,17.13, 9.34	30:A100,25.40,100.00, 2.53, 4.50	35:B220,26.30,100.00,216.43, 6.98	40:A100,24.10,100.00, 1.05, 3.02	45:A100,26.10,100.00, 2.19, 3.93	
0:A100,26.20,100.00,19.72, 1.39	5:A100,28.10,100.00,25.55,45.42	10:A100,27.40,100.00,15.43, 7.01	15:A100,26.70,100.00, 2.00,18.06	20:A100,25.00,100.00,63.01,36.02	25:A100,25.10,100.00,17.13, 9.34	30:A100,25.90,100.00, 2.53, 4.50	35:B220,27.40,100.00,219.06, 6.98	40:A100,24.60,100.00, 1.05, 3.02	45:A100,26.60,100.00, 2.19, 3.93	
0:C000,26.20,100.00,19.72, 0.12	5:A100,28.60,100.00,25.55,45.42	10:A100,27.90,100.00,15.43, 7.01	15:A100,27.20,100.00, 2.00,18.06	20:A100,25.50,100.00,63.01,36.02	25:A100,25.60,100.00,17.13, 9.34	30:A100,26.40,100.00, 2.53, 4.50	35:B220,28.50,100.00,219.75, 6.98	40:A100,25.10,100.00, 1.05, 3.02	45:A100,27.10,100.00, 2.19, 3.93	
0:A100,26.70,100.00,19.72, 0.12	5:A100,29.10,100.00,25.55,45.42	10:A100,28.40,100.00,15.43, 7.01	15:A100,27.70,100.00, 2.00,18.06	20:A100,26.00,100.00,63.01,36.02	25:A100,26.10,100.00,17.13, 9.34	30:A100,26.90,100.00, 2.53, 4.50	35:B220,29.60,100.00,219.93, 6.98	40:A100,25.60,100.00, 1.05, 3.02	45:A100,27.60,100.00, 2.19, 3.93	
